iter	Passed	Remaining
425	1841	2481
426	1844	2474
427	1848	2470
428	1852	2466
429	1855	2459
430	1857	2452
431	1860	2445
432	1865	2443
433	1870	2438
434	1872	2432
435	1875	2425
436	1879	2422
437	1882	2415
438	1884	2408
439	1886	2401
440	1889	2394
441	1891	2387
442	1896	2385
443	1899	2378
444	1901	2371
445	1904	2365
446	1906	2358
447	1911	2355
448	1914	2349
449	1916	2342
450	1919	2336
451	1921	2329
452	1926	2325
453	1929	2320
454	1933	2316
455	1935	2309
456	1940	2305
457	1943	2299
458	1946	2294
459	1948	2287
460	1951	2281
461	1953	2274
462	1960	2273
463	1963	2268
464	1966	2262
465	1969	2256
466	1973	2252
467	1975	2245
468	1978	2240
469	1980	2233
470	1983	2227
471	1987	2223
472	1989	2216
473	1991	2210
474	1994	2204
475	1996	2198
476	1999	2191
477	2003	2188
478	2005	2181
479	2008	2175
480	2010	2169
481	2013	2164
482	2020	2163
483	2024	2158
484	2027	2152
485	2029	2146
486	2034	2142
487	2036	2136
488	2039	2130
489	2041	2124
490	2044	2119
491	2046	2113
492	2052	2110
493	2055	2105
494	2058	2100
495	2061	2094
496	2065	2090
497	2067	2084
498	2069	2077
499	2071	2071
500	2075	2066
501	2080	2063
502	2082	2057
503	2084	2051
504	2086	2045
505	2089	2039
506	2091	2033
507	2093	2027
508	2096	2022
509	2099	2017
510	2102	2011
511	2104	2005
512	2106	2000
513	2110	1995
514	2113	1990
515	2116	1984
516	2118	1979
517	2120	1973
518	2122	1966
519	2125	1962
520	2128	1956
521	2130	1950
522	2132	1944
523	2133	1938
524	2135	1932
525	2137	1926
526	2140	1920
527	2142	1914
528	2144	1909
529	2146	1903
530	2148	1897
531	2150	1892
532	2155	1888
533	2157	1883
534	2163	1880
535	2166	1875
536	2171	1872
537	2173	1866
538	2175	1860
539	2177	1855
540	2179	1849
541	2181	1843
542	2185	1839
543	2187	1833
544	2189	1828
545	2191	1822
546	2193	1816
547	2195	1810
548	2197	1805
549	2201	1800
550	2203	1795
551	2205	1789
552	2207	1784
553	2209	1778
554	2211	1772
555	2213	1767
556	2216	1762
557	2218	1757
558	2220	1751
559	2222	1746
560	2224	1740
561	2226	1735
562	2228	1729
563	2231	1725
564	2233	1719
565	2235	1714
566	2237	1708
567	2239	1703
568	2241	1698
569	2245	1694
570	2248	1689
571	2251	1684
572	2253	1679
573	2255	1673
574	2257	1668
575	2261	1664
576	2264	1659
577	2266	1654
578	2268	1649
579	2270	1643
580	2272	1638
581	2276	1634
582	2278	1629
583	2280	1624
584	2282	1618
585	2284	1613
586	2286	1608
587	2287	1603
588	2291	1599
589	2293	1594
590	2295	1588
591	2297	1583
592	2299	1578
593	2301	1573
594	2303	1568
595	2307	1564
596	2309	1559
597	2312	1554
598	2313	1549
599	2315	1543
600	2318	1538
601	2321	1534
602	2323	1529
603	2325	1524
604	2327	1519
605	2329	1514
606	2331	1509
607	2333	1504
608	2338	1501
609	2340	1496
610	2343	1491
611	2345	1487
612	2347	1482
613	2349	1477
614	2353	1473
615	2355	1468
616	2357	1463
617	2359	1458
618	2361	1453
619	2363	1448
620	2367	1444
621	2369	1440
622	2372	1435
623	2375	1431
624	2377	1426
625	2379	1421
626	2383	1417
627	2385	1413
628	2387	1408
629	2389	1403
630	2391	1398
631	2393	1393
632	2395	1389
633	2399	1385
634	2401	1380
635	2403	1375
636	2406	1371
637	2410	1367
638	2415	1364
639	2417	1359
640	2419	1355
641	2421	1350
642	2423	1345
643	2425	1340
644	2429	1337
645	2431	1332
646	2434	1328
647	2436	1323
648	2438	1319
649	2440	1314
650	2444	1310
651	2446	1305
652	2448	1301
653	2450	1296
654	2452	1291
655	2454	1287
