iter	RMSE
131	0.6410466246
132	0.6354453509
133	0.6324016519
134	0.6291563947
135	0.6269643271
136	0.6244709347
137	0.62143201
138	0.6138963779
139	0.6104705524
140	0.6031344215
141	0.5988527177
142	0.5924230116
143	0.5900132129
144	0.5881362947
145	0.5860292183
146	0.583632602
147	0.5814325633
148	0.5796652791
149	0.5772591124
150	0.571086822
151	0.5693092131
152	0.5673086566
153	0.5619996457
154	0.5601649103
155	0.5585329343
156	0.5561896142
157	0.5543564835
158	0.5527022862
159	0.5471797689
160	0.544903545
161	0.5434122225
162	0.5418052612
163	0.5361641848
164	0.5316589837
165	0.5293790433
166	0.5239463661
167	0.5225639597
168	0.5198783691
169	0.5181557479
170	0.5129278655
171	0.511394048
172	0.5096697054
173	0.5067140987
174	0.5047674787
175	0.503540075
176	0.5023044804
177	0.4982420037
178	0.4971241978
179	0.4926877346
180	0.4914066307
181	0.4875204572
182	0.4850988913
183	0.4837899864
184	0.4816984155
185	0.4805419357
186	0.4795559556
187	0.4765314227
188	0.4754510912
189	0.4744022573
190	0.4734128473
191	0.4697078701
192	0.4668352612
193	0.4637122912
194	0.4628043801
195	0.4613410351
196	0.4604580494
197	0.4569088335
198	0.4560300859
199	0.4550276785
200	0.4540976021
201	0.4531845157
202	0.4496588455
203	0.4469375638
204	0.4461437264
205	0.4451896108
206	0.4438613036
207	0.4398814336
208	0.4391681083
209	0.4384519258
210	0.4368879408
211	0.4360645752
212	0.4327538849
213	0.4319759635
214	0.4286967783
215	0.4278699821
216	0.4251797897
217	0.4243697847
218	0.4234221814
219	0.4205337448
220	0.4199541576
221	0.4188767607
222	0.4164988436
223	0.4159249482
224	0.4153831387
225	0.4146708653
226	0.412560419
227	0.4115881928
228	0.4110612131
229	0.4101628166
230	0.4079563074
231	0.4049576039
232	0.4044709996
233	0.4036438783
234	0.4031659757
235	0.4026237043
236	0.40174437
237	0.398708422
238	0.3967949191
239	0.3946991195
240	0.3941710826
241	0.391993707
242	0.3915809194
243	0.3899624341
244	0.3892763481
245	0.3876854707
246	0.3872859998
247	0.3865691986
248	0.386120268
249	0.3839920917
250	0.3819150704
251	0.3798232642
252	0.379247922
253	0.3786208474
254	0.3780124071
255	0.3774165625
256	0.3768380574
257	0.3764257749
258	0.3746323214
259	0.3729729494
260	0.372434607
261	0.3719097969
262	0.3694925974
263	0.36911625
264	0.3686095423
265	0.367010954
266	0.3667328002
267	0.3651312533
268	0.3646671032
269	0.3643481693
270	0.3625238385
271	0.3620909558
272	0.3617886523
273	0.3613520574
274	0.3597858709
275	0.3586200023
276	0.3582217325
277	0.3578220376
278	0.357597049
279	0.3552531051
280	0.3549886282
281	0.3547065937
282	0.3541504053
283	0.3526018482
284	0.3523552693
285	0.3521206664
286	0.3518530781
287	0.3503564651
288	0.3489464671
289	0.3472832284
290	0.346255806
291	0.3458231669
292	0.3456048361
293	0.3441917863
294	0.3429199061
295	0.3415583593
296	0.3404613917
297	0.3402350043
298	0.339860446
299	0.3393453977
300	0.3375566055
301	0.3372589791
302	0.3369695989
303	0.3362325114
304	0.336048863
305	0.3358198064
306	0.3342053112
307	0.3331354823
308	0.3319146069
309	0.3317445282
310	0.3315778435
311	0.331352366
312	0.3303623255
313	0.3302116356
314	0.3300551095
315	0.3292552854
316	0.3284990932
317	0.3278252016
318	0.3276788188
319	0.3266332702
320	0.3250445202
321	0.3249044157
322	0.3238989855
323	0.3232501604
324	0.3230774133
325	0.3224504494
326	0.3213715191
327	0.3206238546
328	0.3190949119
329	0.3182622687
330	0.3181385829
331	0.3174446834
332	0.3163862126
333	0.3152731332
334	0.3139149429
335	0.3132797164
336	0.3129183123
337	0.3128067813
338	0.3120048018
339	0.3113147767
340	0.3112082339
341	0.3102117422
342	0.3101089838
343	0.3100082842
344	0.3094563771
345	0.3082476407
346	0.306979754
347	0.3068839426
348	0.3061697442
349	0.3060767602
350	0.3052427688
351	0.3046188311
352	0.304450513
353	0.3038292001
354	0.3037438284
355	0.3031220583
356	0.3026499867
357	0.3025692343
358	0.3023244628
359	0.3016639465
360	0.3010546824
361	0.3008481985
362	0.3002019419
363	0.3000067046
364	0.2992783187
365	0.2985492934
366	0.2980526022
367	0.2976164339
368	0.2964117987
369	0.2953708622
370	0.2948049475
371	0.2947384677
372	0.2940369292
373	0.2934391678
374	0.2924253811
375	0.2919794259
376	0.2917619401
377	0.291379663
378	0.2908972483
379	0.2903850587
380	0.2896412998
381	0.2892816211
382	0.2890227225
383	0.2882561975
384	0.2880955212
385	0.2879472175
386	0.2868634241
387	0.2863969898
388	0.2857158609
389	0.2854006625
390	0.2844838329
391	0.2838437396
392	0.2833372819
393	0.2826027298
394	0.282184934
395	0.2816596772
396	0.2811109656
397	0.2809338128
398	0.2807998975
399	0.2800255915
400	0.2797550538
401	0.2788670672
402	0.2785204726
403	0.2780709322
404	0.2775453605
405	0.2766848485
406	0.2765474854
407	0.2755727116
408	0.2745871908
409	0.2741101717
410	0.2734409191
411	0.2731285588
412	0.2727891453
413	0.2723578317
414	0.2719207461
415	0.2714989069
416	0.27084196
417	0.2700531936
418	0.2693472518
419	0.2684341022
420	0.2676087618
421	0.2672808952
422	0.2666453448
423	0.2663582899
424	0.2661826037
425	0.2654366504
426	0.2646060682
427	0.2639613007
428	0.2635195725
429	0.2631940972
430	0.2623917856
431	0.2615897072
432	0.2612654021
433	0.2609719224
434	0.2601987686
435	0.2595915796
436	0.2589194126
437	0.2586795874
438	0.2580113508
439	0.2574533545
440	0.2570098001
441	0.256448929
442	0.25631724
443	0.2555409368
444	0.2552076435
445	0.2544677484
446	0.2540605593
447	0.2534439362
448	0.2527526408
449	0.2524891953
450	0.2519338331
451	0.2513296071
452	0.2507812874
453	0.250555331
454	0.2502845236
455	0.2500040897
456	0.2496476264
457	0.2490205258
458	0.2486698852
459	0.2483747655
460	0.2477554952
461	0.2470702548
462	0.2464572416
463	0.2458947608
464	0.2453498039
465	0.244883185
466	0.2443122976
467	0.2437247114
468	0.2431128218
469	0.2425049237
470	0.2421844891
471	0.2415742561
472	0.2410428322
473	0.2407061062
474	0.2402809558
475	0.2397015888
476	0.2393483664
477	0.2390205472
478	0.2387045462
479	0.2379742702
480	0.2376213715
481	0.2372926538
482	0.2368330914
483	0.236350722
484	0.2356440067
485	0.2352405073
486	0.235027679
487	0.2346409274
488	0.2341232616
489	0.233796833
490	0.2335940194
491	0.2330435143
492	0.2324727074
493	0.2317583925
494	0.2312163089
495	0.2310409897
496	0.2303789987
497	0.2298530681
498	0.2296294188
499	0.2291392223
500	0.2289607163
501	0.2284664403
502	0.2280529069
503	0.22786113
504	0.227369142
505	0.2271050561
506	0.2264966906
507	0.2262529348
508	0.2259777133
509	0.2255894151
510	0.2250543978
511	0.2247354197
512	0.2242275362
513	0.2236678178
514	0.2231195693
515	0.2225327953
516	0.2221640319
517	0.2219970174
518	0.2216820693
519	0.2212200327
520	0.2208585051
521	0.2206017593
522	0.2202416618
523	0.2198733512
524	0.2194317462
525	0.2192770203
526	0.2187796192
527	0.2182620121
528	0.2180572539
529	0.2177953423
530	0.2173742784
531	0.2170203028
532	0.216560164
533	0.2163585305
534	0.2161006907
535	0.2155902801
536	0.2150351832
537	0.2148395134
538	0.214708638
539	0.2143584291
540	0.2139991223
541	0.2136016764
542	0.2130812541
543	0.2126403031
544	0.2121679329
545	0.2118193111
546	0.2115768279
547	0.211086109
548	0.2107392568
549	0.2105081766
550	0.2102860835
551	0.2100979172
552	0.2096741369
553	0.2093180698
554	0.2090136461
555	0.2085753618
556	0.208377233
557	0.2082198884
558	0.2077099736
559	0.2073293402
560	0.2070362274
561	0.2066994449
562	0.2062351638
563	0.2059504483
564	0.2058170969
565	0.2056070591
566	0.2054979575
567	0.2051619169
568	0.2047740548
569	0.2046794608
570	0.2042467102
571	0.2036881479
572	0.2033199599
573	0.2029378817
574	0.2027376957
575	0.2022290037
576	0.2018295207
577	0.2014789052
578	0.2010339907
579	0.2005745333
580	0.2001724061
581	0.1996810604
582	0.1992527922
583	0.1989953716
584	0.1988846518
585	0.1985645492
586	0.1983819707
587	0.1979176711
588	0.1978019718
589	0.1976506604
590	0.197485888
591	0.1971815143
592	0.1970455996
593	0.1968244227
594	0.1966438393
595	0.1962230446
596	0.1960711373
597	0.1956618165
598	0.1954167662
599	0.1952689893
600	0.1948598027
601	0.1945341202
602	0.1941633924
603	0.1938406033
604	0.1935092306
605	0.1931482751
606	0.1929877483
607	0.1926167331
608	0.1924744513
609	0.1921498515
610	0.1920198989
611	0.1918538968
612	0.1915305786
613	0.1913682947
614	0.1909549945
615	0.1905755694
616	0.1902848824
617	0.1900852183
618	0.1899309439
619	0.1898400607
620	0.1895439502
621	0.1892597722
622	0.1889132658
623	0.1887998091
624	0.1883134079
625	0.1879164935
626	0.1874201723
627	0.1870372946
628	0.1868356754
629	0.1864745698
630	0.1860525168
631	0.1857271432
632	0.1853831663
633	0.1851193301
634	0.1849994132
635	0.1848011323
636	0.1844086507
637	0.1840135438
638	0.183826644
639	0.1834094588
640	0.1831596824
641	0.1828230235
642	0.1826998316
643	0.1823489944
644	0.1820572831
645	0.1818559665
646	0.1816583606
647	0.1815817787
648	0.1812530801
649	0.1809582803
650	0.1808749023
651	0.1807635934
652	0.180372738
653	0.1800188697
654	0.1797181785
655	0.1793307812
656	0.1789299602
657	0.1786097707
658	0.178439618
659	0.1783334922
660	0.1781718818
661	0.1778555033
662	0.1777052909
663	0.1773963936
664	0.1770460585
665	0.1769668684
666	0.1767844492
667	0.1764708391
668	0.1763429165
669	0.1761039553
670	0.1758818381
671	0.1757289112
672	0.1754096278
673	0.1750676174
674	0.1748889352
675	0.1744960851
676	0.1742603938
677	0.1741142186
678	0.1739546825
679	0.173877
680	0.1737675455
681	0.1736981876
682	0.1733739625
683	0.1729952802
684	0.1726982717
685	0.1726269365
686	0.1724870518
687	0.1722477021
688	0.1721622431
689	0.1719842923
690	0.1719348506
691	0.1717946993
692	0.1716251189
693	0.1713344842
694	0.170894414
695	0.1705180683
696	0.1702119059
697	0.1699163267
698	0.1696542374
699	0.1692874346
700	0.1689767024
701	0.1687385842
702	0.1685089945
703	0.1681395079
704	0.1678826014
705	0.1675445929
706	0.167329266
707	0.1669340543
708	0.1665803718
709	0.1662771474
710	0.1661244179
711	0.1660039094
712	0.1657818291
713	0.1656794026
714	0.1652736432
715	0.1651012057
716	0.1648740936
717	0.1646728041
718	0.1644087621
719	0.1641265275
720	0.1638393214
721	0.1635507542
722	0.1632922088
723	0.1631550681
724	0.1628795777
725	0.1625563458
726	0.1624828752
727	0.1621957176
728	0.1621402077
729	0.1620055187
730	0.161842295
731	0.1615826221
732	0.1613920448
733	0.1610820054
734	0.1608416102
735	0.1605508701
736	0.1602863313
737	0.1601025081
738	0.1599134815
739	0.159588633
740	0.1593475395
741	0.1590870668
742	0.158869704
743	0.158808551
744	0.1587299692
745	0.1584884599
746	0.1582181457
747	0.1579830118
748	0.1576209112
749	0.1574972457
750	0.1571972304
751	0.1569476446
752	0.1568968925
753	0.1565187409
754	0.1563595208
755	0.1563141946
756	0.1560920934
757	0.1560195962
758	0.1558884756
759	0.1558146641
760	0.1555962328
761	0.1553192713
762	0.1551589618
763	0.1548614112
764	0.1546149697
765	0.1544366861
766	0.1542399163
767	0.1540009799
768	0.1537403674
769	0.1535504799
770	0.1533884533
771	0.1532771909
772	0.1531307419
773	0.1530228418
774	0.1528058015
775	0.1524663338
776	0.1523640941
777	0.1523085461
778	0.1521409017
779	0.1520823703
780	0.1518390924
781	0.1515926874
782	0.1514782227
783	0.1512094362
784	0.1511024169
785	0.1508585866
786	0.1506046395
787	0.1505647112
788	0.150441656
789	0.1501759952
790	0.1498837958
791	0.1495072075
792	0.1492366711
793	0.1491446114
794	0.1489011187
795	0.1486550074
796	0.1483528001
797	0.148117248
798	0.148040967
799	0.1479081087
800	0.1478257565
801	0.1476003879
802	0.1473416114
803	0.1472034862
804	0.1470312178
805	0.1468814965
806	0.1467134218
807	0.1465036528
808	0.1464703768
809	0.1461802189
810	0.1460304151
811	0.1457914949
812	0.1456175378
813	0.1452857962
814	0.1449922929
815	0.1447489024
816	0.1446525037
817	0.144571321
818	0.1443468541
819	0.1440763184
820	0.1438782005
821	0.143700074
822	0.1435488063
823	0.1434548561
824	0.1431301338
825	0.1429166238
826	0.1426724189
827	0.1425297624
828	0.1423385179
829	0.1421556256
830	0.1419750131
831	0.1417837939
832	0.1415696732
833	0.1414257399
834	0.1412462752
835	0.1409828788
836	0.1407447551
837	0.1404847002
838	0.1404017471
839	0.1402054827
840	0.14006098
841	0.139941341
842	0.1398193343
843	0.1396267203
844	0.1394754602
845	0.1393357722
846	0.1390866936
847	0.1388818559
848	0.1387114885
849	0.1385027627
850	0.13846848
851	0.1383690911
852	0.1382767799
853	0.1381189205
854	0.137977279
855	0.1378531728
856	0.1377548794
857	0.1375039962
858	0.1373012573
859	0.1372960842
860	0.1372810043
861	0.1371907845
862	0.1371148904
863	0.1368885837
864	0.1366878648
865	0.136514102
866	0.1363306856
867	0.1361652633
868	0.1359793281
869	0.1358513513
870	0.1356625545
871	0.1355477128
872	0.1353194198
873	0.1350737175
874	0.1349974703
875	0.1347864878
876	0.1345448924
877	0.1343306201
878	0.134176862
879	0.1339404313
880	0.1336970269
881	0.1335682668
882	0.1334922417
883	0.1332738372
884	0.1330248018
885	0.1329138549
886	0.1327543932
887	0.1325814101
888	0.132425802
889	0.1322931022
890	0.1320798065
891	0.1318689019
892	0.1317613513
893	0.131687249
894	0.1315092565
895	0.1314841518
896	0.131162926
897	0.1309666385
898	0.1309429043
899	0.1307967259
900	0.1307132397
901	0.130649806
902	0.1305023992
903	0.1302806185
904	0.1300589688
905	0.1298981818
906	0.1297206767
907	0.129512852
908	0.1292641236
909	0.129064017
910	0.1288672861
911	0.128586435
912	0.1284035224
913	0.1283436719
914	0.128156129
915	0.1280762345
916	0.1278602859
917	0.1275709901
918	0.1273814985
919	0.1273156971
920	0.1271456195
921	0.1269693179
922	0.1267218317
923	0.1265144481
924	0.126435093
925	0.1262357824
926	0.1260877763
927	0.125993257
928	0.1259120732
929	0.125774017
930	0.1256361721
931	0.1254475616
932	0.1252774289
933	0.1251286168
934	0.124910315
935	0.1247692756
936	0.1246160557
937	0.1244034505
938	0.124256557
939	0.1240517209
940	0.124004207
941	0.1238027647
942	0.1235593614
943	0.1235152064
944	0.1233647378
945	0.123284306
946	0.1231019681
947	0.122829937
948	0.1227344599
949	0.1226663171
950	0.1225835728
951	0.1224222441
952	0.1222716904
953	0.1222068552
954	0.122065281
955	0.1218736026
956	0.1217720479
957	0.1215588246
958	0.121503387
959	0.1213106353
960	0.1211803742
961	0.1211589664
962	0.1210772519
963	0.1209898644
964	0.1208506566
965	0.1207070281
966	0.1204833913
967	0.1204246795
968	0.1202851634
969	0.1201185298
970	0.1199344281
971	0.1197585842
972	0.1196614282
973	0.1195933588
974	0.1193766581
975	0.1191728163
976	0.1190109954
977	0.1187335842
978	0.1185992489
979	0.118482774
980	0.1182995853
981	0.118186487
982	0.1180862096
983	0.1178589676
984	0.1177570255
985	0.1176603554
986	0.117576794
987	0.1174085609
988	0.1172766122
989	0.1172000416
990	0.1171347142
991	0.1169821626
992	0.1169080019
993	0.1167572609
994	0.1166333277
995	0.1164949144
996	0.1164837327
997	0.1163011606
998	0.1162117397
999	0.1161430708
